ANDRESSIA,Feminino,76,
ANDREW,Masculino,79,8469
ANDREWS,Masculino,0,1874
ANDREYA,Feminino,235,
ANDREZA,Feminino,65919,244
ANDREZZA,Feminino,3709,
ANDRIA,Masculino,4237,51
ANDRIELI,Masculino,10784,121
ANDRIELLE,Feminino,1501,
ANDRIELLEN,Feminino,43,
ANDRIELLI,Feminino,748,
ANDRUS,Masculino,0,44
ANDRYELLE,Feminino,214,
ANE,Feminino,35222,161
ANELIA,Feminino,993,
ANELISA,Feminino,896,
ANELISE,Feminino,8292,21
ANELITA,Feminino,3772,
ANELIZE,Feminino,1986,
ANELLA,Feminino,31,
ANEMARIE,Feminino,45,
ANEMEIRE,Feminino,24,
ANESIA,Feminino,8871,30
ANESIO,Masculino,28,8328
ANETE,Feminino,5337,21
ANGELA,Masculino,278058,738
ANGELICA,Masculino,123200,409
ANGELINA,Feminino,46649,154
ANGELINE,Feminino,1047,
ANGELIS,Masculino,218,31
ANGELISE,Feminino,135,
ANGELITA,Masculino,32185,77
ANGELITO,Masculino,0,672
ANGELO,Masculino,473,78108
ANIBAL,Masculino,43,8448
ANICE,Feminino,1790,
ANICEIA,Feminino,257,
ANIELLI,Feminino,239,
ANIELLY,Feminino,731,
ANILDO,Masculino,0,5536
ANILSON,Masculino,0,3502
ANILZETE,Feminino,53,
ANIR,Feminino,256,127
ANIS,Feminino,53,174
ANISIA,Feminino,7542,20
ANISIO,Feminino,58,18652
ANITA,Feminino,37219,104
ANIZIO,Masculino,22,6229
ANNA,Feminino,55426,183
ANNABEL,Feminino,76,
ANNE,Masculino,24280,70
ANNELISE,Feminino,824,
ANNELIZE,Feminino,207,
ANNELYSE,Feminino,86,
ANNI,Feminino,1513,
ANNIE,Feminino,1108,
ANSELMO,Feminino,78,19079
ANTENOR,Feminino,49,21861
ANTHONY,Masculino,51,6171
ANTONIA,Feminino,588783,4032
ANTONIELY,Feminino,101,
ANTONINA,Feminino,4921,21
ANTONIO,Feminino,8854,2567494
ANTONY,Masculino,114,12784
ANY,Feminino,5078,38
ANYELI,Feminino,57,
APARECIDA,Feminino,303020,1004
APARECIDO,Masculino,486,93950
APOLIANO,Masculino,0,216
APOLONIA,Feminino,2527,
AQUILES,Feminino,63,6133
ARACE,Feminino,45,
ARACELI,Masculino,2206,80
ARACELIA,Feminino,914,
ARACI,Masculino,17470,703
ARACY,Masculino,3390,95
ARAMIS,Feminino,34,1970
ARARI,Feminino,136,111
ARCELI,Feminino,266,257
ARCESIO,Masculino,0,28
ARCILEIA,Feminino,50,
ARELI,Masculino,429,62
ARENI,Masculino,274,98
ARETHA,Feminino,632,
ARETUSA,Feminino,829,
ARGOS,Masculino,0,180
ARI,Masculino,236,43368
ARIADNE,Feminino,6804,45
ARIANA,Masculino,22968,90
ARIANE,Feminino,74046,325
ARIANNE,Feminino,940,
ARIANY,Feminino,1118,
ARIDINA,Feminino,38,
ARIDNA,Feminino,60,
ARIEDINE,Feminino,23,
ARIEL,Feminino,2755,27128
ARIELEN,Feminino,296,
ARIELI,Feminino,4486,44
ARIELLA,Feminino,332,
ARIELLI,Feminino,359,
ARIENE,Feminino,2309,106
ARIETE,Feminino,1361,
ARILDA,Feminino,1936,
ARILDE,Feminino,270,
ARILDO,Masculino,22,8533
ARILENE,Feminino,1617,
ARILZA,Feminino,345,
ARINE,Masculino,1059,32
ARINILDA,Feminino,39,
ARIOMAR,Feminino,55,1023
ARION,Masculino,0,803
ARIOSVALDO,Masculino,0,4628
ARIOVALDO,Masculino,0,8538
ARISTEU,Masculino,22,8685
ARISTIDES,Feminino,68,15240
ARITON,Masculino,0,224
ARLEANDRA,Feminino,59,
ARLEI,Masculino,473,7825
ARLEIDE,Masculino,2921,52
ARLEM,Feminino,71,1011
ARLENE,Feminino,17440,115
ARLETE,Feminino,59608,259
ARLEY,Masculino,176,3914
ARLI,Masculino,1271,1552
ARLINDO,Masculino,155,66669
ARLINE,Feminino,655,
ARMANDO,Masculino,157,53520
ARMELINDA,Feminino,2828,
ARMINDA,Feminino,8936,46
ARNALDO,Masculino,236,80612
ARNO,Masculino,0,7728
AROLDO,Feminino,52,22548
ARTHUR,Feminino,986,125788
ARTUR,Feminino,975,131972
ARY,Feminino,68,6517
ARYADNA,Feminino,76,
ASSIS,Feminino,90,12642
ASSUNCION,Feminino,26,
ASTA,Feminino,939,
ASTROGILDA,Feminino,1364,
ASTROGILDO,Masculino,0,2518
ATAIDE,Feminino,483,13165
ATAMIR,Masculino,0,282
ATILIO,Masculino,0,5193
AUCILEIDE,Feminino,195,
AUDA,Feminino,768,
AUDI,Feminino,52,223
AUDINEIA,Feminino,630,
AUDRE,Feminino,63,28
AUDREY,Masculino,1775,277
AUGUSTA,Masculino,16615,95
AUGUSTO,Feminino,505,104672
AULIO,Masculino,0,34
AURA,Feminino,2042,
AUREA,Masculino,36052,91
AURELIA,Feminino,4350,23
AURELIO,Feminino,72,19470
AURENI,Feminino,2786,113
AUREO,Masculino,23,4317
AURICELIA,Feminino,6857,23
AURILENI,Feminino,133,
AURINEIDE,Feminino,3497,
AURORA,Masculino,19818,51
AUZENIR,Masculino,1170,77
AVANI,Feminino,5003,381
AVANY,Feminino,677,57
AVELAINE,Feminino,21,
AVELINA,Feminino,5079,27
AVELINO,Feminino,38,14165
AVENINA,Feminino,105,
AXEL,Feminino,20,1647
AYRTON,Masculino,0,3526
AYSLA,Feminino,616,22
AYUMI,Feminino,437,
AZARIAS,Masculino,0,1086
AZIZE,Feminino,85,
AZUCENA,Feminino,22,
BALBINA,Feminino,7159,31
BALTAZAR,Masculino,0,6339
BARBARA,Masculino,170703,639
BARTIRA,Feminino,1184,
BASILIO,Masculino,0,5217
BATIRA,Feminino,26,
BEATRICE,Feminino,1336,
BEATRIS,Feminino,28622,120
BEATRIZ,Feminino,354980,1371
BELAIR,Feminino,81,42
BELINA,Feminino,928,
BELKIS,Feminino,191,
BELLA,Feminino,249,
BELMIRO,Masculino,0,5369
BENEDITA,Masculino,128317,533
BENEDITO,Feminino,701,213323
BENHUR,Masculino,0,1879
BENILDE,Masculino,1947,57
BENONE,Masculino,0,665
BENONI,Masculino,25,757
BENTA,Feminino,7425,32
BENTO,Feminino,79,20274
BENVINDA,Feminino,3760,
BERENICE,Feminino,24150,103
BERNADETE,Feminino,36023,188
BERNADETH,Feminino,498,
BERNADETTE,Feminino,212,
BERNARDETE,Feminino,5082,22
BERNARDETH,Feminino,49,
BERNARDINA,Feminino,2973,
BERNARDO,Masculino,348,56545
BETANIA,Masculino,19442,58
BETHANIA,Feminino,1779,
BETINA,Feminino,5250,
BIANCA,Masculino,232855,860
BIBIANA,Feminino,3596,
BOLIVAR,Masculino,0,1944
BONIFACIO,Masculino,0,3266
BORIS,Masculino,0,759
BRANCA,Feminino,2549,
BRANDALI,Feminino,69,
BRASILIO,Masculino,0,767
BRAULIA,Feminino,441,
BRAULINO,Masculino,0,2829
BRAULIO,Masculino,21,7704
BRENDA,Masculino,120624,627
BRENNO,Masculino,30,3239
BRENO,Feminino,944,111653
BRIANNA,Feminino,64,
BRIGIDA,Feminino,6596,23
BRUNA,Feminino,460770,2778
BRUNNA,Feminino,2959,
BRUNO,Masculino,4946,663271
BYANCA,Feminino,833,
CACIARA,Feminino,42,
CACILDA,Masculino,12901,33
CAIO,Masculino,1876,225902
CAMILA,Feminino,469851,1708
CAMILE,Feminino,51746,254
CAMILLA,Masculino,10422,33
CAMILLE,Feminino,7321,58
CAMILLY,Feminino,7543,35
CANDICE,Feminino,764,
CANDIDA,Masculino,18875,62
CARI,Masculino,218,43
CARIME,Feminino,264,
CARIN,Masculino,1069,34
CARINA,Feminino,63313,242
CARINE,Feminino,39540,179
CARLA,Feminino,325334,1350
CARLOS,Feminino,6070,1483121
CARMELENE,Feminino,70,
CARMELINA,Feminino,6066,
CARMELITA,Masculino,38403,98
CARMELITO,Masculino,0,1863
CARMELUCIA,Feminino,1421,
CARMEM,Feminino,78651,260
CARMEN,Feminino,56433,172
CARMO,Masculino,443,4568
CAROL,Masculino,23025,436
CAROLINA,Masculino,190497,724
CAROLINE,Masculino,212706,942
CAROLLINA,Feminino,221,
CAROLLINE,Feminino,895,
CASILDA,Feminino,2783,
CASSANDRA,Feminino,4523,
CASSIA,Feminino,67625,276
CASSIANA,Feminino,7695,42
CASSIANE,Feminino,13975,104
CASSIANI,Feminino,294,
CASSIANO,Masculino,214,21875
CASSIMIRO,Masculino,0,2739
CASSIO,Masculino,315,53183
CASSIUS,Masculino,0,1188
CASTURINA,Feminino,1300,
CATARINA,Feminino,61659,206
CATERINA,Feminino,478,
CATHARINE,Feminino,424,
CATHERINE,Feminino,1716,
CATHIA,Feminino,293,
CATHYA,Feminino,22,
CATIA,Feminino,67451,164
CATIANE,Masculino,11821,42
CATILANE,Feminino,61,
CATIUCIA,Feminino,950,
CAUANA,Masculino,3296,36
CAUE,Masculino,239,26306
CECILIA,Masculino,104228,269
CEIA,Feminino,186,
CEILA,Feminino,1212,
CELENA,Feminino,954,
CELENE,Feminino,2515,
CELENI,Feminino,621,24
CELENIR,Feminino,287,
CELESTE,Masculino,12166,818
CELI,Masculino,12453,639
CELIA,Masculino,184096,420
CELIANA,Feminino,1503,
CELIANE,Feminino,5885,26
CELINA,Feminino,48001,126
CELINY,Feminino,66,
CELIO,Masculino,291,74693
CELIRIA,Feminino,237,
CELITA,Feminino,6581,22
CELMA,Masculino,31707,91
CELONI,Feminino,596,35
CELSO,Feminino,349,130837
CELSON,Masculino,23,6545
CENI,Feminino,2196,131
CENIRA,Feminino,7012,
CEONI,Feminino,60,
CERES,Masculino,1460,32
CERLI,Masculino,1185,73
CESAR,Feminino,580,118354
CESARIO,Masculino,22,4529
CEZAR,Masculino,120,21165
CHAIANE,Feminino,7430,54
CHANG,Masculino,139,300
CHARLENE,Feminino,9990,68
CHARLES,Masculino,429,72715
CHARLI,Feminino,40,179
CHEILA,Masculino,13629,37
CHELLY,Feminino,73,
CHEYLA,Feminino,245,
CHIARA,Feminino,1347,
CHIRLEI,Feminino,5928,109
CHIRLEY,Masculino,3150,59
CHRIS,Feminino,230,152
CHRISTIAN,Feminino,266,11197
CHRISTIANE,Feminino,4825,
CHRISTIANNE,Feminino,435,
CHRISTIANO,Masculino,0,1705
CHRISTINA,Feminino,1417,
CHRISTINE,Feminino,961,
CHRISTOPHER,Masculino,21,2698
CHRYSTIAM,Masculino,0,23
CHRYSTIANE,Feminino,115,
CHU,Masculino,34,56
CIANE,Feminino,1055,
CIBELE,Feminino,33209,123
CIBELI,Feminino,4294,
CIBELLE,Feminino,1661,
CIBELY,Feminino,805,
CICERO,Feminino,916,247711
CICILIA,Feminino,2317,
CICLENE,Feminino,33,
CIDINEI,Masculino,145,3767
CILENE,Masculino,20612,50
CILIANA,Feminino,128,
CILMARA,Feminino,1412,
CILSO,Masculino,0,753
CIMEIA,Feminino,277,
CINARA,Feminino,7100,
CINDIA,Feminino,424,
CINDY,Feminino,3116,
CINEZIA,Feminino,134,
CINIRA,Feminino,2687,
CINTHIA,Masculino,12908,35
CINTHYA,Feminino,1593,
CINTIA,Masculino,131533,408
CINTYA,Feminino,1313,
CINVAL,Masculino,0,462
CIOMARA,Feminino,339,
CIRCE,Masculino,1045,20
CIRENE,Masculino,4277,61
CIRILO,Masculino,0,4104
CIRINEU,Masculino,0,1565
CIRLEI,Masculino,7241,920
CIRLENE,Masculino,16570,40
CIRO,Feminino,55,13880
CIRUS,Masculino,0,36
CLAIR,Masculino,10656,4312
CLARA,Feminino,82626,310
CLAREANE,Feminino,32,
CLARI,Masculino,1769,379
CLARIANE,Feminino,799,
CLARICE,Feminino,73418,223
CLARINDA,Feminino,7926,25
CLARISSA,Masculino,13596,37
CLARITA,Feminino,1072,
CLARIZA,Feminino,206,
CLAUCIA,Feminino,2526,
CLAUDECIR,Masculino,1115,8661
CLAUDEMIR,Masculino,300,51279
CLAUDEMIRO,Masculino,0,3092
CLAUDENICE,Masculino,10020,108
CLAUDENILCE,Feminino,56,
CLAUDETE,Feminino,61804,329
CLAUDETH,Feminino,136,
CLAUDETTE,Feminino,232,
CLAUDIA,Feminino,358175,1319
CLAUDIANE,Feminino,24655,192
CLAUDICE,Feminino,923,25
CLAUDICEIA,Feminino,2160,
CLAUDILENA,Feminino,157,
CLAUDILENE,Feminino,7798,56
CLAUDIMARA,Feminino,717,
CLAUDIMIRO,Masculino,0,1143
CLAUDINE,Masculino,1438,682
CLAUDINEA,Feminino,1148,
CLAUDINEI,Masculino,1199,74264
CLAUDINEIA,Masculino,31448,99
CLAUDINELI,Feminino,64,
CLAUDINETE,Masculino,4737,54
CLAUDINIS,Masculino,0,25
CLAUDINOR,Masculino,0,1088
CLAUDIO,Masculino,1603,350428
CLAUDIOMIR,Masculino,0,2857
CLAUDIONEI,Feminino,20,1743
CLAUDIONIR,Masculino,24,707
CLAUDIONOR,Feminino,71,24125
CLAUDIRENE,Feminino,1851,
CLAUSON,Masculino,0,60
CLAUTIDES,Feminino,119,
CLAYTON,Feminino,62,13755
CLEA,Feminino,7925,23
CLEBER,Feminino,523,102878
CLEBERSON,Feminino,99,19917
CLECI,Feminino,7811,138
CLEDIR,Masculino,649,668
CLEIA,Masculino,24310,60
CLEIDE,Masculino,105492,881
CLEIDEMARA,Feminino,255,
CLEIDENIR,Masculino,123,23
CLEIDI,Masculino,1908,95
CLEIDIANA,Feminino,3212,
CLEIDINEIA,Feminino,1393,
CLEILI,Feminino,24,
CLEIMARA,Feminino,139,
CLEINTON,Masculino,0,156
CLEIRI,Feminino,148,
CLEISE,Masculino,2439,67
CLEISON,Feminino,89,13663
CLEITON,Feminino,748,128738
CLEIVA,Feminino,536,
CLELIA,Masculino,11389,29
CLEMAIR,Feminino,745,26
CLEMENCIA,Feminino,5613,21
CLEMENTE,Feminino,79,10482
CLEMILDA,Masculino,12674,40
CLEMILSON,Masculino,25,4146
CLEMINDA,Feminino,68,
CLEMIR,Masculino,257,687
CLENICE,Feminino,1533,
CLENIZE,Feminino,29,
CLEOCI,Masculino,353,89
CLEODETE,Feminino,774,
CLEOMAR,Feminino,2916,10148
CLEOMARA,Feminino,1268,
CLEONE,Feminino,991,2094
CLEONEI,Feminino,30,177
CLEONI,Masculino,1347,703
CLEONICE,Feminino,90779,310
CLEONILDA,Feminino,2194,
CLEONILSON,Masculino,0,772
CLEONIR,Masculino,1130,1182
CLEONIRA,Feminino,202,
CLEOSMAR,Masculino,37,419
CLER,Masculino,142,38
CLERI,Masculino,1025,191
CLERIA,Feminino,5841,
CLERITA,Feminino,36,
CLESIO,Feminino,45,11004
CLEUCIO,Masculino,0,270
CLEUDIMAR,Feminino,1342,1111
CLEUDITE,Feminino,36,
CLEUMIRA,Feminino,76,
CLEUNICE,Masculino,13844,44
CLEUNILTON,Masculino,0,21
CLEUSA,Feminino,76538,156
CLEUSENI,Feminino,277,
CLEUZA,Feminino,49893,112
CLEUZI,Feminino,183,
CLEUZIMAR,Masculino,250,71
CLEVER,Feminino,37,2153
CLEVERSON,Feminino,78,18995
CLEVERSSON,Masculino,0,141
CLEYCE,Feminino,224,
CLEYTON,Masculino,56,9629
CLICIA,Feminino,3661,
CLODEMIR,Masculino,0,75
CLODOALDO,Feminino,66,25102
CLODOMIRO,Masculino,0,1869
CLONICE,Feminino,342,
CLOTILDE,Feminino,9103,86
CLOVIS,Masculino,101,48260
CONCEICAO,Masculino,102585,1537
CONSUELO,Masculino,5400,66
CORA,Feminino,885,
CORINE,Feminino,137,
CORNELIS,Masculino,0,39
CRECIA,Feminino,196,
CREUNICE,Feminino,1038,
CREUSA,Masculino,24781,60
CREUZELI,Feminino,170,
CRHISTINA,Feminino,33,
CRIS,Feminino,3138,1130
CRISCIELE,Feminino,145,
CRISLAINE,Masculino,24517,90
CRISLAYNE,Feminino,1528,
CRISLEI,Masculino,1373,536
CRISLENE,Feminino,4132,
CRISTHIAM,Masculino,0,78
CRISTHIAN,Feminino,64,2835
CRISTHIANE,Feminino,797,
CRISTHYANE,Feminino,24,
CRISTIAM,Masculino,102,3038
CRISTIAN,Masculino,2667,77504
CRISTIANA,Feminino,39704,251
CRISTIANE,Feminino,327248,1542
CRISTIANI,Feminino,4430,115
CRISTIANNE,Feminino,543,
CRISTIANO,Masculino,1507,194300
CRISTIANY,Feminino,583,
CRISTIELE,Feminino,5962,33
CRISTINA,Masculino,192208,490
CRISTINE,Feminino,9735,51
CRISTOVAO,Feminino,41,12675
CRIZANTO,Masculino,0,87
CRYSTIANE,Feminino,127,
CRYSTIANO,Masculino,0,42
CYBELE,Feminino,547,
CYBELI,Feminino,77,
CYBELLE,Feminino,516,
CYLENE,Feminino,125,
CYNTHIA,Feminino,4836,
CYNTIA,Feminino,2475,
CYRO,Masculino,0,1077
DAEANE,Feminino,65,
DAGMAR,Feminino,9449,1396
DAIANA,Feminino,73147,238
DAIANE,Feminino,243820,1009
DAIANI,Feminino,4531,
DAIANNE,Feminino,754,
DAILI,Masculino,188,37
DAIR,Feminino,840,2026
DAISA,Feminino,1965,
DAISE,Feminino,7864,37
DAISI,Feminino,689,
DAISY,Feminino,4917,27
DALCI,Feminino,1951,1226
DALCIA,Feminino,93,
DALICE,Feminino,499,
DALILA,Feminino,27549,101
DALMI,Masculino,156,638
DALTIVA,Feminino,303,
DALTON,Masculino,45,8756
DALUZ,Feminino,481,
DALVA,Feminino,83485,330
DALVANICE,Feminino,514,
DALVINA,Feminino,8437,30
DALVINO,Masculino,0,1676
DALVO,Masculino,0,1650
DALZIR,Masculino,0,39
DAMARES,Feminino,7409,131
DAMARIS,Feminino,9407,120
DAMASIO,Masculino,0,2321
DAMIANA,Feminino,48290,174
DAMILA,Feminino,612,
DANARA,Feminino,67,
DANIANE,Masculino,1295,27
DANIEL,Masculino,4811,706527
DANIELA,Feminino,302915,1395
DANIELE,Feminino,251469,2052
